%GUI Data Logging
%Number of channels = 8
%Sample rate = 250Hz
%Board = MiniKit:2.0.0
Timestamp,ExG Channel 0,ExG Channel 1,ExG Channel 2,ExG Channel 3,ExG Channel 4,ExG Channel 5,ExG Channel 6,ExG Channel 7
1700061769370.0,14131.758213043213,0,0,0,0,0,0,0
1700061769374.0,14106.35232925415,0,0,0,0,0,0,0
1700061769378.0,14147.636890411377,0,0,0,0,0,0,0
1700061769382.0,14190.773963928223,0,0,0,0,0,0,0
1700061769386.0,14219.62022781372,0,0,0,0,0,0,0
1700061769390.0,14156.899452209473,0,0,0,0,0,0,0
1700061769394.0,14190.244674682617,0,0,0,0,0,0,0
1700061769398.0,14200.565814971924,0,0,0,0,0,0,0
1700061769382,14150.283336639404,0,0,0,0,0,0,0
1700061769386.0,14120.643138885498,0,0,0,0,0,0,0
1700061769390.0,14148.430824279785,0,0,0,0,0,0,0
1700061769394.0,14149.224758148193,0,0,0,0,0,0,0
1700061769398.0,14170.13168334961,0,0,0,0,0,0,0
1700061769402.0,14169.602394104004,0,0,0,0,0,0,0
1700061769406.0,14157.428741455078,0,0,0,0,0,0,0
1700061769410.0,14164.574146270752,0,0,0,0,0,0,0
1700061769414.0,14168.27917098999,0,0,0,0,0,0,0
1700061769418.0,14168.543815612793,0,0,0,0,0,0,0
1700061769422.0,14240.527153015137,0,0,0,0,0,0,0
1700061769426.0,14183.628559112549,0,0,0,0,0,0,0
1700061769430.0,14144.725799560547,0,0,0,0,0,0,0
1700061769434.0,14168.014526367188,0,0,0,0,0,0,0
1700061769438.0,14183.363914489746,0,0,0,0,0,0,0
1700061769442.0,14148.166179656982,0,0,0,0,0,0,0
1700061769446.0,14180.188179016113,0,0,0,0,0,0,0
1700061769450.0,14135.198593139648,0,0,0,0,0,0,0
1700061769454.0,14228.618144989014,0,0,0,0,0,0,0
1700061769458.0,14178.071022033691,0,0,0,0,0,0,0
1700061769462.0,14205.329418182373,0,0,0,0,0,0,0
1700061769466.0,14178.335666656494,0,0,0,0,0,0,0
1700061769470.0,14204.800128936768,0,0,0,0,0,0,0
1700061769474.0,14249.260425567627,0,0,0,0,0,0,0
1700061769478.0,14247.407913208008,0,0,0,0,0,0,0
1700061769482.0,14196.860790252686,0,0,0,0,0,0,0
1700061769486.0,14261.434078216553,0,0,0,0,0,0,0
1700061769490.0,14206.652641296387,0,0,0,0,0,0,0
1700061769494.0,14206.652641296387,0,0,0,0,0,0,0
1700061769498.0,14184.68713760376,0,0,0,0,0,0,0
1700061769502.0,14316.744804382324,0,0,0,0,0,0,0
1700061769506.0,14198.713302612305,0,0,0,0,0,0,0
1700061769510.0,14212.210178375244,0,0,0,0,0,0,0
1700061769514.0,14220.943450927734,0,0,0,0,0,0,0
1700061769518.0,14231.529235839844,0,0,0,0,0,0,0
1700061769522.0,14230.470657348633,0,0,0,0,0,0,0
1700061769526.0,14204.270839691162,0,0,0,0,0,0,0
1700061769530.0,14257.464408874512,0,0,0,0,0,0,0
1700061769534.0,14216.973781585693,0,0,0,0,0,0,0
1700061769538.0,14290.28034210205,0,0,0,0,0,0,0
1700061769542.0,14128.317832946777,0,0,0,0,0,0,0
1700061769546.0,14221.47274017334,0,0,0,0,0,0,0
1700061769550.0,14265.9330368042,0,0,0,0,0,0,0
1700061769554.0,14205.594062805176,0,0,0,0,0,0,0
1700061769558.0,14237.88070678711,0,0,0,0,0,0,0
1700061769562.0,14172.248840332031,0,0,0,0,0,0,0
1700061769566.0,14249.52507019043,0,0,0,0,0,0,0
1700061769570.0,14274.66630935669,0,0,0,0,0,0,0
1700061769574.0,14351.942539215088,0,0,0,0,0,0,0
1700061769578.0,14302.453994750977,0,0,0,0,0,0,0
1700061769623,14349.29609298706,0,0,0,0,0,0,0
1700061769627.0,14267.520904541016,0,0,0,0,0,0,0
1700061769631.0,14315.42158126831,0,0,0,0,0,0,0
1700061769635.0,14319.655895233154,0,0,0,0,0,0,0
1700061769639.0,14331.300258636475,0,0,0,0,0,0,0
1700061769643.0,14346.38500213623,0,0,0,0,0,0,0
1700061769647.0,14229.14743423462,0,0,0,0,0,0,0
1700061769651.0,14298.484325408936,0,0,0,0,0,0,0
1700061769655.0,14158.222675323486,0,0,0,0,0,0,0
1700061769659.0,14253.759384155273,0,0,0,0,0,0,0
1700061769663.0,14302.983283996582,0,0,0,0,0,0,0
1700061769667.0,14320.18518447876,0,0,0,0,0,0,0
1700061769671.0,14309.334754943848,0,0,0,0,0,0,0
