Unnamed: 0,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,pipelineDataset,paradigm,evaluation,pipeline_category,ITR
109,0.75,14.895096,100.0,0.106373005,1,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,47.548875021634686
110,0.96,14.906219,100.0,0.106452204,2,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,101.65855865332433
111,0.87,14.36463,100.0,0.10258434,2,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,74.19100139269564
112,0.83,15.727785,100.0,0.112319045,3,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,64.37109576799104
113,0.94,15.951579,100.0,0.11390843,3,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,94.64743984813525
114,1.0,16.713577,100.0,0.11935957,4,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,120.0
115,1.0,17.481625,100.0,0.12484475,4,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,120.0
116,0.5,22.961489,100.0,0.16397963,5,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,12.451124978365318
117,0.91,16.90862,100.0,0.12074337,5,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,85.25301347225958
118,0.99,14.863964,100.0,0.10615087,6,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,114.20143434581263
119,0.98,15.36312,100.0,0.10965949,6,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,109.61161244662537
120,1.0,15.23459,100.0,0.10878923,7,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,120.0
121,1.0,15.034979,100.0,0.1073716,7,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,120.0
122,0.79,14.900338,100.0,0.106410466,8,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,55.54050809503701
123,0.87,13.276147,100.0,0.09481067,8,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,74.19100139269564
124,0.88,16.082111,100.0,0.11484967,9,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,76.82661807756583
125,0.69,14.502613,100.0,0.10356991,9,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,36.92928998391508
126,0.78,14.339092,100.0,0.10240212,10,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,53.46844481276281
