;score;time;samples;subject;session;channels;n_sessions;dataset;pipeline;paradigm;evaluation;imputed;pipeline_category
166;0.78724444;16.479483;1800.0;4;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
167;0.7310889;39.72485;1800.0;4;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
168;0.7862;23.08316;1800.0;5;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
169;0.7696889;20.230112;1800.0;5;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
170;0.7726111;17.647694;1800.0;5;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
171;0.6089444;17.339891;1800.0;5;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
172;0.6951;39.55774;1800.0;6;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
173;0.6502778;20.023085;1800.0;6;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
174;0.67642224;16.658655;1800.0;6;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
175;0.49136665;8.629352;1800.0;6;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
176;0.82023335;20.348835;1800.0;7;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
177;0.7751778;21.842594;1800.0;7;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
178;0.8175;17.13346;1800.0;7;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
179;0.57224447;22.993446;1800.0;7;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
180;0.9127667;27.82466;1800.0;8;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
181;0.8776889;23.435871;1800.0;8;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
182;0.9039222;21.951132;1800.0;8;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
183;0.6576667;18.951143;1800.0;8;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
184;0.87803334;27.981894;1800.0;9;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
185;0.8506889;22.26616;1800.0;9;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
186;0.8728333;22.24092;1800.0;9;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
187;0.6467889;21.321836;1800.0;9;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
188;0.8661444;22.11099;1800.0;10;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
189;0.84166664;20.912674;1800.0;10;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
190;0.86906666;15.47441;1800.0;10;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
191;0.62245554;16.265833;1800.0;10;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
192;0.9296971;17.932453;768.0;1;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
193;0.89340866;18.499817;768.0;1;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
194;0.88855046;16.512306;768.0;1;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
195;0.7323846;9.370234;768.0;1;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
196;0.92862797;16.996058;764.0;2;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
197;0.90535665;21.832062;764.0;2;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
198;0.91186446;16.432152;764.0;2;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
199;0.76183206;11.9212055;764.0;2;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
200;0.93277645;18.90885;768.0;3;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
201;0.908774;22.186785;768.0;3;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
202;0.9117957;16.468767;768.0;3;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
203;0.842613;18.772749;768.0;3;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
204;0.97419745;20.986967;765.0;4;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
205;0.97142303;20.133537;765.0;4;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
206;0.9843975;15.837537;765.0;4;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
207;0.96443707;19.275932;765.0;4;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
208;0.91704065;18.48961;764.0;5;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
209;0.91645217;79.763855;764.0;5;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
210;0.84257364;12.01144;764.0;5;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
211;0.71464074;8.292781;764.0;5;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
212;0.90296584;20.631134;765.0;6;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
213;0.8952873;77.219604;765.0;6;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
214;0.88172984;14.620317;765.0;6;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
215;0.83555686;16.027853;765.0;6;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
216;0.87218267;39.603935;768.0;7;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
217;0.8608606;88.77266;768.0;7;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
218;0.8472813;16.26894;768.0;7;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
219;0.68221873;10.195464;768.0;7;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
220;0.90296584;20.215057;765.0;8;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
221;0.8952873;85.92121;765.0;8;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
222;0.88172984;14.693215;765.0;8;0;16;1;BrainInvaders2012;EEGNet-8.2;P300;WithinSession;False;Deep Learning
223;0.83555686;17.07021;765.0;8;0;16;1;BrainInvaders2012;ShallowConvNet;P300;WithinSession;False;Deep Learning
224;0.9269994;14.40522;761.0;9;0;16;1;BrainInvaders2012;EEGITNet;P300;WithinSession;False;Deep Learning
225;0.92249304;19.295336;761.0;9;0;16;1;BrainInvaders2012;EEGNeX;P300;WithinSession;False;Deep Learning
