,Score,time,subject,nb_cal,clf,score_01,time_training
305,0.78,1.4458333333333335,9,5,Xdawn+RG+LDA,0.6694974226804125,0.0
306,0.75,1.4280000000000002,9,5,Xdawn+RG+SVC,0.6497100515463918,0.0
307,0.75,1.4562499999999998,9,5,Xdawn+LDA,0.6828608247422681,0.0
308,0.78,1.4510752688172046,9,6,Xdawn+RG+MDM,0.6897193585337915,0.0
309,0.78,1.4895061728395065,9,6,Xdawn+RG+LDA,0.6712843642611683,0.0
310,0.78,1.4879999999999998,9,6,Xdawn+RG+SVC,0.6755512600229095,0.0
311,0.89,1.4369047619047621,9,6,Xdawn+LDA,0.7052691867124856,0.0
312,0.88,1.3980769230769232,9,7,Xdawn+RG+MDM,0.7301063144329897,0.0
313,0.75,1.373188405797101,9,7,Xdawn+RG+LDA,0.7193379510309279,0.0
314,0.75,1.4472222222222222,9,7,Xdawn+RG+SVC,0.6913498711340207,0.0
