,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
125,0.69,14.502613,100.0,0.10356991,9,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
126,0.78,14.339092,100.0,0.10240212,10,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
127,0.88,14.549116,100.0,0.10390223,10,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
128,0.98,16.988758,100.0,0.12132486,11,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
129,0.96,16.171839,100.0,0.11549059,11,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
130,1.0,15.46969,100.0,0.11047574,12,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
131,0.93,14.728141,100.0,0.10518003,12,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
132,0.88,14.568743,100.0,0.104042284,13,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
133,0.88,14.828141,100.0,0.10589476,13,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
134,0.87,15.94766,100.0,0.11388956,14,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
135,0.7,18.774778,100.0,0.13407958,14,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
136,0.99,15.330599,100.0,0.10947622,15,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
137,0.99,13.789977,100.0,0.098480366,15,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
138,0.97,14.63469,100.0,0.10451318,16,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
139,0.99,16.501066,100.0,0.11784181,16,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
140,0.92,14.847608,100.0,0.10603358,17,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
141,0.91,15.151542,100.0,0.108203165,17,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
142,0.98,16.150976,100.0,0.115341395,18,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
143,1.0,16.81176,100.0,0.12006063,18,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
144,0.9,14.979678,100.0,0.106977105,19,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
145,0.92,15.033826,100.0,0.10736314,19,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
146,0.88,22.801556,100.0,0.16283731,20,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
147,0.83,13.999674,100.0,0.09997794,20,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
148,0.94,15.724057,100.0,0.112282105,21,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
149,1.0,16.687073,100.0,0.11917019,21,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
150,0.87,14.338206,100.0,0.10239587,22,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
151,0.8,14.984318,100.0,0.10700878,22,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
152,0.43,14.7849865,100.0,0.1055863,23,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
153,0.47,14.337606,100.0,0.10239135,23,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
154,0.89,14.657421,100.0,0.104675494,24,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
155,0.89,13.87698,100.0,0.09910177,24,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
156,0.98,15.5152,100.0,0.1107985,25,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
157,0.93,14.748561,100.0,0.10532654,25,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
158,0.94,14.03467,100.0,0.100227796,26,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
159,0.98,14.760958,100.0,0.10541486,26,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
160,0.98,15.307035,100.0,0.10930634,27,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
161,0.99,15.278683,100.0,0.109094426,27,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
162,0.99,13.886915,100.0,0.09917274,28,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
163,0.96,13.787685,100.0,0.09846405,28,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
164,0.82,15.109771,100.0,0.10789574,29,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
165,0.66,14.85536,100.0,0.1060892,29,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
166,0.99,15.532464,100.0,0.11091664,30,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
167,0.98,21.20425,100.0,0.15142274,30,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
168,1.0,17.765926,100.0,0.12687533,31,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
169,1.0,17.451416,100.0,0.12462904,31,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
170,0.98,15.190974,100.0,0.108464465,32,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
171,0.86,15.9423485,100.0,0.1138481,32,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
172,0.98,14.0796795,100.0,0.10054703,33,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
173,0.95,14.029053,100.0,0.10018748,33,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
174,0.53,14.842441,100.0,0.10599672,34,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
175,0.78,14.949381,100.0,0.10675504,34,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
176,0.95,14.457708,100.0,0.10324932,35,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
177,0.86,14.631347,100.0,0.10448953,35,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
178,1.0,17.629396,100.0,0.12589778,36,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
179,1.0,18.017319,100.0,0.12866992,36,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
180,0.96,15.530581,100.0,0.110909946,37,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
181,0.98,15.621837,100.0,0.111561,37,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
182,0.99,15.487504,100.0,0.11060022,38,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
183,0.95,14.89249,100.0,0.10635439,38,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
184,0.97,14.79101,100.0,0.10562933,39,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
185,0.97,14.808668,100.0,0.105755694,39,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
186,0.68,14.637916,100.0,0.10453634,40,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
187,0.91,15.524777,100.0,0.11086324,40,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
188,0.96,15.284312,100.0,0.109151766,41,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
189,0.98,15.868272,100.0,0.11332224,41,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
